"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ensembl","Symbol","AK10","AK11","AK12","AK13","AK1","AK2","AK3","AK4","AK5","AK6","AK7","AK9","AW10","AW11","AW12","AW1","AW2","AW3","AW4","AW5","AW6","AW7","AW8","AW9","BK10","BK13","BK1","BK2","BK3","BK4","BK5","BK6","BK7","BK8","BK9","BW10","BW12","BW13","BW1","BW2","BW3","BW4","BW5","BW6","BW7","BW8","BW9","Entrez"
"6978","ENSMUSG00000028971 - Cort",2.39623243682637,-4.38445002957775,0.497573993383305,-8.8116543225365,1.23312375522478e-18,4.10810830786729e-17,"ENSMUSG00000028971"," Cort",7.30300716119188,2.88208965606539,10.8738100674134,1.78958725139084,4.95964837563314,2.49983248210774,9.89227579308731,2.97833013808124,3.71482359773076,4.0064189254555,6.15829284837154,7.72112071519147,2.3058079565044,4.14641258460389,1.99707515329746,3.00667949543223,4.03645306025032,0,4.79558096187769,8.86323140023838,5.04147822481326,4.73700742873995,5.49813167715937,1.43581344549068,0,0.987698151401894,0,0,0,0,0,0,0,0.992317979309663,0,0,0,0,0,0,0,0,0,0,0,0,0,"12854"
"8061","ENSMUSG00000030954 - Gp2",3.3708560521693,-4.49701131763604,0.513131621271485,-8.76385537592272,1.88683866434343e-18,6.22961088050162e-17,"ENSMUSG00000030954"," Gp2",5.21643368656563,4.80348276010898,1.67289385652514,2.68438087708625,2.47982418781657,19.9986598568619,2.47306894827183,7.94221370154997,6.50094129602883,1.33547297515183,1.23165856967431,19.3028017879787,3.07441060867253,5.18301573075487,5.99122545989237,5.01113249238705,10.0911326506258,6.86995709626549,8.63204573137984,3.32371177508939,11.7634491912309,12.3162193147239,2.74906583857969,2.87162689098137,0,0,0.946593780524842,0.887380669018506,0,0.95783752455173,0,0,0,0,0,0,0,0,0,0,0,0,1.17084746814549,0,0.948749725513192,0,0,"67133"
"22516","ENSMUSG00000083623 - Gm7224",3.29890442907839,-5.14522618587468,0.468782549652293,-10.975720383984,5.00056656459438e-28,2.90616523089976e-26,"ENSMUSG00000083623"," Gm7224",1.04328673731313,9.60696552021796,2.50934078478771,3.57917450278167,8.67938465735799,3.74974872316161,8.6557413189514,5.95666027616248,9.2870589943269,8.012837850911,6.15829284837154,4.82570044699467,6.14882121734507,4.14641258460389,4.99268788324364,6.01335899086446,6.05467959037547,5.15246782219912,8.63204573137984,4.43161570011919,14.2841883036376,7.57921188598392,5.49813167715937,10.0506941184348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"637913"
"31166","ENSMUSG00000114733 - Gm4815",3.76755769397969,-5.18537488278126,0.470242066200431,-11.0270332143597,2.83048841744454e-28,1.67672309050099e-26,"ENSMUSG00000114733"," Gm4815",7.30300716119188,7.68557241617437,1.67289385652514,6.26355537986792,14.8789451268994,4.99966496421548,3.70960342240774,6.94943698885623,8.35835309489421,13.3547297515183,2.46331713934861,2.8954202681968,6.9174238695132,8.29282516920779,3.99415030659491,7.01558548934187,11.1002459156884,5.15246782219912,15.3458590780086,8.86323140023838,9.24271007882431,4.73700742873995,8.24719751573906,6.46116050470808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17084746814549,0,0,0,0,"218501"
"18186","ENSMUSG00000066107 - Gm12666",4.32901346775225,-5.26951246163344,0.458597979387897,-11.4904833829988,1.47285463673317e-30,9.55436653962509e-29,"ENSMUSG00000066107"," Gm12666",5.21643368656563,5.76417931213077,10.8738100674134,11.6323171340404,11.1592088451746,8.74941368737709,6.18267237067957,11.913320552325,9.2870589943269,10.6837838012147,7.38995141804584,10.6165409833883,11.529039782522,6.21961887690584,5.99122545989237,4.00890599390964,5.0455663253129,6.01121245923231,18.2232076551352,8.86323140023838,4.20123185401105,6.63181040023593,4.58177639763281,10.7686008411801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798541469231336,0,0,0,0,1.1209732162336,"68280"
"19780","ENSMUSG00000074441 - Defa40",4.95931903876059,-5.32604827806931,0.530989972063223,-10.0304121702606,1.12047886030979e-23,5.18657840288624e-22,"ENSMUSG00000074441"," Defa40",9.38958063581813,11.5283586242615,1.67289385652514,8.94793625695418,4.95964837563314,12.4991624105387,14.838413689631,16.8772041157937,8.35835309489421,17.3611486769738,16.011561405766,0,2.3058079565044,9.32942831535876,0.998537576648728,9.02003848629669,2.01822653012516,6.01121245923231,14.3867428856331,6.64742355017878,16.8049274160442,6.63181040023593,6.41448695668594,26.5625487415776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51254240443648,0,0,0,0,"100041787"
"27251","ENSMUSG00000098470 - C1rb",7.01094258046037,-6.2241938514902,0.470245950003155,-13.2360392502018,5.43398496657686e-40,5.03066859493696e-38,"ENSMUSG00000098470"," C1rb",8.346293898505,13.4497517283051,16.7289385652514,17.8958725139084,18.5986814086243,14.9989948926464,6.18267237067957,12.9060972650187,13.0018825920577,16.025675701822,12.3165856967431,39.5707436653563,16.1406556955308,18.6588566307175,11.9824509197847,14.0311709786837,18.1640387711264,7.72870173329868,8.63204573137984,6.64742355017878,15.1244346744398,14.2110222862198,4.58177639763281,3.58953361372671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"667277"
"18575","ENSMUSG00000068506 - Gm5800",8.1844053920791,-6.45303481081917,0.461019581137811,-13.9973117733804,1.6187893372245e-44,1.70416891198211e-42,"ENSMUSG00000068506"," Gm5800",17.7358745343231,24.0174138005449,20.0747262783017,14.3166980111267,16.1188572208077,6.24958120526935,24.7306894827183,5.95666027616248,12.073176692625,8.012837850911,27.0964885328348,4.82570044699467,19.2150663042033,19.6954597768685,17.9736763796771,21.0467564680256,20.1822653012516,24.9035944739624,10.5502781161309,4.43161570011919,16.8049274160442,18.0006282292118,15.5780397519516,15.0760411776522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"545047"
"5568","ENSMUSG00000026535 - Ifi202b",8.26406737033181,-6.45494231739296,0.457384950063268,-14.1127125335018,3.17140580497531e-45,3.43687112618001e-43,"ENSMUSG00000026535"," Ifi202b",22.9523082208888,10.5676620722398,24.2569609196145,17.0010788882129,18.5986814086243,27.4981573031851,16.0749481637669,15.8844274030999,13.0018825920577,14.6902027266702,18.4748785451146,38.6056035759573,7.68602652168133,9.32942831535876,11.9824509197847,9.02003848629669,10.0911326506258,15.4574034665974,14.3867428856331,21.0501745755661,15.1244346744398,11.3688178289759,17.4107503110047,7.89697395019876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26388"
"11345","ENSMUSG00000039146 - Ifi44l",25.5062735728102,-7.96003160739634,0.543406883771295,-14.6483819861702,1.37962060313539e-48,1.6189012975518e-46,"ENSMUSG00000039146"," Ifi44l",34.4284623313331,25.9388069045885,15.0560447087263,44.7396812847709,86.7938465735799,83.7443881506093,32.1498963275338,93.3210109932122,53.864942167096,78.7929055339582,139.177418373197,55.9781251851381,9.2232318260176,15.5490471922646,29.9561272994618,66.146948899509,100.911326506258,83.2982297922191,42.2011124645237,42.1003491511323,18.4854201576486,17.0532267434638,27.4906583857969,1.43581344549068,0,0,0,0,0,0.95783752455173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15061"
